fiscal_year,awarding_agency_id,funding_agency_id,annual_spending
,634,309,2814887.0
,634,315,26978355.53
,634,457,143623.33
,634,479,381159.6
,634,503,17238.8
,634,538,4122.86
,634,539,1784087.67
,634,554,41705.55
,634,561,12544959.54
,634,611,2733540.49
,634,614,30874303.98
,634,617,115009.97
,634,620,77941.2
,634,628,0.0
,634,634,1851180456.4
,634,636,4410489.69
,634,638,532595.6
,634,640,77606440.09
,634,645,0.0
,634,647,15342070.34
,634,700,38224905.02
,634,731,1439230.51
,634,732,609116.78
,634,751,1734071.91
,634,755,107309.0
,634,767,0.0
,634,769,1725487.56
,634,770,2467545.75
,634,772,11410.8
,634,773,1060206.82
,634,776,64110.05
,634,777,92293.42
,634,778,9998667.43
,634,779,26768.52
,634,782,7467793.04
,634,791,60236859.58
,634,800,13293.1
,634,801,228605.03
,634,806,0.0
,634,807,3063.85
,634,810,24570.0
,634,812,24514.02
,634,815,22002700.9
,634,824,11506703.06
,634,825,4896442.0
,634,826,293206.12
,634,827,927423.93
,634,828,26328.76
,634,830,686817.0
,634,831,54523.91
,634,862,916831.4
,634,882,25536647.07
,634,883,3438.42
,634,900,0.0
,634,925,9911.46
,634,930,7742873.71
,634,1068,106794.85
,634,1139,59612.23
,634,1141,0.06
,634,1143,160124.3
,634,1163,5821.75
,634,1173,639117021.35
,634,1174,394113102.81
,634,1188,709636073.179999
,634,1196,778584301.169999
,634,1205,18209.32
,634,1206,157040189.58
,634,1208,94818.9
,634,1209,41076.95
,634,1214,97092.0
,634,1216,4774.4
,634,1217,6133882.42
,634,1218,1686177.67
,634,1219,1049749.82
,634,1220,13605395.51
,634,1221,3975.92
,634,1222,3360495.0
,634,1223,24681.54
,634,1225,5514192.65
,634,1228,1107580.7
,634,1232,1053711.68
,634,1235,67567.42
,634,1251,1996416.01
,635,,500989635.27
,635,48,3596925.96
,635,95,0.0
,635,158,254967.36
,635,201,0.0
,635,253,0.0
,635,561,0.01
,635,614,0.0
,635,620,0.0
,635,635,107604025.37
,635,636,2720.0
,635,640,5000000.0
,635,806,2700755.75
,635,882,0.0
,635,1173,3500962.18
,635,1188,0.0
,635,1196,1.0
,635,1222,792508.36
,636,,2845679360.77
,636,13,27867.0
,636,28,163092.52
,636,39,46677408.72
,636,48,675422.91
,636,95,353856.03
,636,99,236638.8
,636,129,102501.96
,636,130,1058884.57
,636,146,6705.01
,636,149,176636.07
,636,150,3227367.55
,636,153,86032.81
,636,158,16690.81
,636,163,2370485.22
,636,166,134857.9
,636,171,26623.52
,636,175,64320.5
,636,176,383223.91
,636,183,256797.54
,636,184,337610.92
,636,186,3181681.84
,636,193,344630.56
,636,195,5378932.8
,636,200,385923.05
,636,201,10509.32
,636,212,100249.22
,636,213,106011.0
,636,214,475075.04
,636,227,951687.14
,636,228,6261645.18
,636,233,807592.36
,636,235,37998.48
,636,236,14268.84
,636,237,2604150.13
,636,239,272253.11
,636,240,99219.58
,636,252,2381549.51
,636,253,17807027.17
,636,254,74333.25
,636,255,3583887.19
,636,256,7366.6
,636,259,0.0
,636,261,8303604.46
,636,262,3221651.36
,636,265,211691.05
,636,271,148884.82
,636,287,17383.12
,636,291,2800.0
,636,292,38816.0
,636,294,125634.0
,636,300,188554.61
,636,301,8145.0
,636,309,72875.0
,636,315,15228276.65
,636,465,272584.83
,636,491,5277106.99
,636,502,28644.76
,636,503,132484.1
,636,539,32394852.04
,636,552,25834.97
,636,554,897503.6
,636,561,21210936.69
,636,611,15165.18
,636,614,2510316.19
,636,617,106153.51
,636,619,19136.14
,636,626,79766.16
,636,633,0.0
,636,634,91216.64
,636,636,4888623966.6
,636,645,211099.2
,636,655,8601.73
,636,693,219423.56
,636,700,1212550.58
,636,731,228632.66
,636,751,13487777.31
,636,753,382088.07
,636,756,94406.83
,636,759,3446821.93
,636,767,5000.0
,636,768,83755.65
,636,769,2842586.04
,636,770,29414.49
,636,772,439831.17
,636,773,436234.01
,636,776,2622873.58
,636,777,3152126.27
,636,778,25669877.53
,636,782,78992.75
,636,791,24558.0
,636,792,930939.0
,636,794,20789.95
,636,795,2259.31
,636,801,1301847.0
,636,803,326160.78
,636,807,84703.53
,636,809,141787.44
,636,810,1174853.68
,636,811,59510.97
,636,812,214499.01
,636,818,503517.27
,636,823,122519.06
,636,824,821974.65
,636,825,12194687.4
,636,827,101826.23
,636,831,337505.12
,636,840,263272.0
,636,845,327432.35
,636,862,0.0
,636,882,50819.85
,636,925,76136.25
,636,930,1130281.14
,636,1068,172173.88
,636,1139,6146.0
,636,1173,3535827.55
,636,1174,49157388.55
,636,1188,6074885.5
,636,1196,6610003.93
,636,1205,1192546.22
,636,1209,783843.02
,636,1219,1065970.18
,636,1221,181278.57
,636,1223,2091625.87
,636,1225,29484.88
,636,1231,145598.4
,636,1239,429000.0
,636,1422,410301.0
,636,1431,26772.0
,638,,12304112.25
,645,614,110503.0
,645,616,8940.0
,645,618,401702.16
,645,626,2888181.87
,645,634,348402.32
,645,636,1258602.14
,645,638,12360741.67
,645,640,38753798.03
,645,642,2001549.11
,645,643,89696.64
,645,645,4541068.03
,645,646,692283.9
,645,647,1484746.69
,647,647,6111497.62
,655,,32241026798.08
,655,655,4808824943.65
,680,,675401.27
,680,680,295779989.4
,685,685,2259782.79
,687,,856003953.0
,687,687,127262436.19
,692,,723304041.0
,692,692,53813839.61
,693,,0.0
,693,693,9645219445.37982
,694,,3427119.31
,694,694,24049673.0
,697,,103485.0
,697,697,19526756.05
,698,,0.0
,699,,0.0
,699,699,3033183.43
,700,,37352007481.24
,700,700,1003410979.86
,731,,619.56
,732,,870305877.21
,732,731,1324291.11
,732,732,508868083.8
,732,753,148046.0
,751,,19888218476.2
,751,731,97127.39
,751,732,389549.56
,751,751,9330478956.83998
,753,,321818316389.889
,753,732,2032347.75
,753,753,962300865.619999
,753,754,3332856.0
,754,,613443079.05
,754,754,181633410.99
,755,,375800203.95
,755,755,167210224.53
,755,1174,246001161.33
,755,1234,8109255.69
,756,,2638167975.86
,756,731,2605369.01
,756,756,679869702.55
,757,,19150.0
,757,757,3142355.96
,758,,218962436.84
,758,758,0.0
,759,,8254361.68
,759,759,451349126.44
,760,,68634993240.64
,760,760,11624055607.71
,761,,128251586.0
,761,761,53262213.24
,762,,0.0
,765,,2000784.62
,766,,7108704.0
,766,766,58402345.0
,767,,111374053.43
,767,767,828783671.4
,767,768,19491796.47
,767,769,0.0
,767,773,6447760.6
,767,776,0.0
,767,779,222284.4
,767,782,5733137.0
,767,785,54607431.76
,767,787,482421518.8
,767,789,20457094.7
,767,791,795275594.469999
,767,792,99652703.12
,767,793,21746445.23
,767,794,60583538.22
,767,795,19670538.46
,767,796,19782372.55
,767,797,176188420.15
,767,798,20845463.89
,767,799,28179911.75
,767,1216,3202363.0
,769,,22777828.06
,769,769,579000536.17
,769,794,1413.35
,770,770,13562679.46
,771,,306388725.0
,772,,192879842.2
,772,772,2861898079.39
,772,787,1793121.0
,773,,16176499.67
,773,773,194296534.38
,773,794,3367682.39
,776,,82401505.04
,776,776,848554862.040001
,776,794,450640489.07
,776,798,10221.36
,777,,28508622.07
,777,777,1170511580.74
,777,792,0.0
,778,,277536504.85
,778,767,1500000.0
,778,778,1951894282.56
,778,794,20670107.39
,779,,32565588.27
,779,778,1713036.0
,779,779,402674206.49
,779,787,10650.0
,782,,13583637454.49
,782,782,2201024516.91
,782,797,29743.38
,790,,33618169.35
,800,,320000000.0
,800,800,347427706.61
,801,,7082380465.96
,801,801,1512094259.43
,803,,510888157.06
,803,803,347811789.24
,807,,69013224117.0
,810,810,22775524.55
,810,831,67367432.0
,810,840,12701902.0
,811,,1074673766.06
,811,806,300000.0
,811,808,1380563.83
,811,811,2324678784.5
,811,816,30254069.82
,811,824,242129595.89
,811,840,0.0
,812,,0.0
,819,,0.0
,821,,289146592.27
,822,,210822625.0
,823,,17231903175.0
,823,823,159134818.36
,824,,3614278678.03
,824,824,14372354165.26
,825,,496778135.37
,825,825,1346053450.01
,827,,19680145351.12
