toptier_agency_id,create_date,update_date,cgac_code,fpds_code,abbreviation,name,COFOG,mission,website,icon_filename
27,1517428380.94133,1520545210.20416,27,2700,FCC,Federal Communications Commission,4,"The Federal Communications Commission regulates interstate and international communications by radio, television, wire, satellite, and cable in all 50 states, the District of Columbia and U.S. territories. An independent U.S. government agency overseen by Congress, the Commission is the federal agency responsible for implementing and enforcing America's communications law and regulations.",https://www.fcc.gov/,
28,1517428380.95889,1520545210.21764,28,2800,SSA,Social Security Administration,10,Deliver Social Security services that meet the changing needs of the public.,https://www.ssa.gov/,SSA.png
29,1517428381.12574,1520545210.4762,29,2900,FTC,Federal Trade Commission,4,"Working to protect consumers by preventing anticompetitive, deceptive, and unfair business practices, enhancing informed consumer choice and public understanding of the competitive process, and accomplishing this without unduly burdening legitimate business activity.",https://www.ftc.gov/,
30,1517428381.14339,1520545210.49024,30,3000,ICC,Interstate Commerce Commission,4,,,
31,1517428381.1609,1520545210.50444,31,3100,NRC,Nuclear Regulatory Commission,4,To ensure the safe use of radioactive materials for beneficial civilian purposes while protecting people and the environment.,https://www.nrc.gov/,NRC.jpg
32,1517428381.17854,1520545210.51763,3300,3300,SI,Smithsonian Institution,8,,,
33,1517428381.2086,1520545210.54094,3303,3300,WILSON CENTER,Woodrow Wilson International Center for Scholars,8,,,
34,1517428381.22666,1520545210.55424,3301,3352,KENNEDY CENTER,John F. Kennedy Center for the Performing Arts,8,,http://www.kennedy-center.org/,
35,1517428381.24466,1520545210.56747,3302,3355,,National Gallery of Art,8,,,
7,1517428374.35159,1520545204.56305,9,,,Legislative Branch Boards and Commissions,1,,,
8,1517428374.51477,1520545204.77756,10,1000,,The Judicial Branch,3,,,
9,1517428374.76429,1520545204.97276,1100,1100,EOP,Executive Office of the President,1,The EOP has responsibility for tasks ranging from communicating the President's message to the American people to promoting our trade interests abroad.,https://www.whitehouse.gov/administration/eop,
37,1517428381.2797,1520545210.59502,36,3600,VA,Department of Veterans Affairs,10,"To fulfill President Lincoln's promise ""To care for him who shall have borne the battle, and for his widow, and his orphan"" by serving and honoring the men and women who are America's veterans.",https://www.va.gov/,DOVA.jpg
39,1517428381.92209,1520545211.17069,45,4500,EEOC,Equal Employment Opportunity Commission,10,Stop and Remedy Unlawful Employment Discrimination,https://www.eeoc.gov/,
139,1517428392.67201,1520545220.47942,321,,,Commission for the Preservation of America's Heritage Abroad,8,,http://www.heritageabroad.gov/,
40,1517428381.96446,1520545211.20341,47,4700,GSA,General Services Administration,1,"The mission of GSA is to deliver the best value in real estate, acquisition, and technology services to government and the American people.",https://www.gsa.gov/,GSA.jpg
41,1517428382.38808,1520545211.53032,584,4811,ILOC,Indian Law and Order Commission,1,,,
42,1517428382.4056,1520545211.56015,453,4817,SJI,State Justice Institute,3,,,
43,1517428382.42333,1520545211.57344,435,4849,ONHIR,Office of Navajo and Hopi Indian Relocation,10,,,
44,1517428382.4408,1520545211.61725,376,9554,USICH,U.S. Interagency Council on Homelessness,10,To coordinate the federal response to homelessness and to create a national partnership at every level of government and with the private sector to reduce and end homelessness in the nation while maximizing the effectiveness of the federal government in contributing to the end of homelessness.,https://www.usich.gov/,
45,1517428382.49036,1520545211.63112,431,4856,NWTRB,Nuclear Waste Technical Review Board,5,,,
46,1517428382.508,1520545211.64527,49,4900,NSF,National Science Foundation,1,"To promote the progress of science; to advance the national health, prosperity, and welfare; to secure the national defense; and for other purposes.",https://www.nsf.gov/,NSF.jpg
48,1517428382.85133,1520545211.905,576,5094,SIPC,Securities Investor Protection Corporation,4,,,
10,1517428375.01562,1520545205.25448,1136,1100,USADF,African Development Foundation,1,USADF is an independent U.S. Government agency established to support and invest in African owned and led enterprises that improve the lives and livelihoods of people in poor communities in Africa.,http://www.usadf.gov/,
11,1517428375.03795,1520545205.36274,1130,1100,IAF,Inter-American Foundation,1,"To identify, support, and partner with the poor, their enterprises and grassroots organizations to create and build thriving communities.",www.iaf.gov/,
47,1517428382.83339,1520545211.89117,50,5000,SEC,Securities and Exchange Commission,4,"The mission of the SEC is to protect investors; maintain fair, orderly, and efficient markets; and facilitate capital formation. The SEC strives to promote a market environment that is worthy of the public's trust.",https://www.sec.gov/,
49,1517428382.86882,1520545211.9185,51,5100,FDIC,Federal Deposit Insurance Corporation,4,The Federal Deposit Insurance Corporation (FDIC) is an independent agency created by the Congress to maintain stability and public confidence in the nation's financial system by: insuring deposits; examining and supervising financial institutions for safety and soundness and consumer protection; making large and complex financial institutions resolvable; and managing receiverships.,https://www.fdic.gov/,
50,1517428382.88687,1520545211.94685,534,5200,ARCTIC GAS,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,4,,,
51,1517428382.92001,1520545211.96092,54,5400,FLRA,Federal Labor Relations Authority,4,"The FLRA promotes stable, constructive labor-management relations through the resolution and prevention of labor disputes in a manner that gives full effect to the collective-bargaining rights of employees, unions, and agencies.",https://www.flra.gov/,
52,1517428382.93771,1520545211.97513,56,5600,CIA,Central Intelligence Agency,2,,,
53,1517428382.95522,1520545211.989,417,5920,NEA,National Endowment for the Arts,8,"The National Endowment for the Arts is an independent federal agency that funds, promotes, and strengthens the creative capacity of our communities by providing all Americans with diverse opportunities for arts participation.",https://www.arts.gov/,
54,1517428383.0222,1520545212.04292,418,5940,NEH,National Endowment for the Humanities,8,The National Endowment for the Humanities serves and strengthens our nation by supporting high quality projects and programs in the humanities and by making the humanities available to all Americans.,https://www.neh.gov/,
55,1517428383.04036,1520545212.05647,60,6000,RRB,Railroad Retirement Board,10,"The RRB's mission is to administer retirement/survivor and unemployment/sickness insurance benefit programs for railroad workers and their families under the Railroad Retirement Act and the Railroad Unemployment Insurance Act.  These programs provide income protection during old age and in the event of disability, death or temporary unemployment and sickness.  The RRB also administers aspects of the Medicare program and has administrative responsibilities under the Social Security Act and the Internal Revenue Code.  In carrying out its mission, the RRB will pay benefits to the right people, in the right amounts, in a timely manner, and will take appropriate action to safeguard our customers' trust funds.  The RRB will treat every person who comes into contact with the agency with courtesy and concern, and respond to all inquiries promptly, accurately and clearly.",https://www.rrb.gov/,
56,1517428383.05835,1520545212.07062,61,6100,CPSC,Consumer Product Safety Commission,4,Keeping Consumers Safe,https://www.cpsc.gov/,
57,1517428383.07594,1520545212.09832,62,6201,OSC,Office of Special Counsel,1,"OSC's primary mission is to safeguard the merit system by protecting federal employees and applicants from prohibited personnel practices, especially reprisal for whistleblowing.",https://osc.gov/,
58,1517428383.10928,1520545212.11242,420,6300,NLRB,National Labor Relations Board,4,"Protecting workplace democracy and the rights of employees, unions and employers under the National Labor Relations Act, in order to promote commerce and strengthen the Nation's economy.",https://www.nlrb.gov/,
59,1517428383.12691,1520545212.12565,455,6400,TVA,Tennessee Valley Authority,4,,,
60,1517428383.14437,1520545212.1394,65,6500,FMC,Federal Maritime Commission,4,Ensure a competitive and reliable international ocean transportation supply system that supports the U.S. economy and protects the public from unfair and deceptive practices.,https://www.fmc.gov/,
61,1517428383.16189,1520545212.15532,68,6800,EPA,Environmental Protection Agency,5,Our mission is to protect human health and the environment.,https://www.epa.gov/,EPA.jpg
62,1517428383.54949,1520545212.54116,69,6900,DOT,Department of Transportation,4,"Serve the United States by ensuring a fast, safe, efficient, accessible and convenient transportation system that meets our vital national interests and enhances the quality of life of the American people, today and into the future.",https://www.transportation.gov/,DOTransportation.jpg
63,1517428383.99003,1520545212.87689,70,7000,DHS,Department of Homeland Security,3,"With honor and integrity, we will safeguard the American people, our homeland, and our values.",https://www.dhs.gov/,DHS.jpg
64,1517428384.4447,1520545213.28928,71,7100,OPIC,Overseas Private Investment Corporation,4,,,
65,1517428384.46232,1520545213.31686,72,7200,USAID,Agency for International Development,1,"We partner to end extreme poverty and promote resilient, democratic societies while advancing our security and prosperity.",https://www.usaid.gov/,USAID.jpg
12,1517428375.30034,1520545205.58993,1125,1145,PC,Peace Corps,1,"To promote world peace and friendship by fulfilling three goals: (1) To help the people of interested countries in meeting their need for trained men and women; (2) To help promote a better understanding of Americans on the part of the peoples served, and (3) To help promote a better understanding of other peoples on the part of Americans.",https://www.peacecorps.gov/,
14,1517428375.38395,1520545205.65912,12,1200,USDA,Department of Agriculture,4,"We provide leadership on food, agriculture, natural resources, rural development, nutrition, and related issues based on sound public policy, the best available science, and efficient management.",https://www.usda.gov/,USDA.jpg
20,1517428378.03399,1520545207.97451,18,1800,USPS,U.S. Postal Service,4,,,
36,1517428381.26218,1520545210.58115,34,3400,USITC,International Trade Commission,1,"Consistent with its statutory mandate, the Commission makes determinations in proceedings involving imports claimed to injure a domestic industry or violate U.S. intellectual property rights; provides independent tariff, trade and competitiveness-related analysis and information; and maintains the U.S. tariff schedule.",https://www.usitc.gov/,
38,1517428381.90411,1520545211.15726,389,4100,MSPB,Merit Systems Protection Board,8,Protect the Merit System Principles and promote an effective Federal workforce free of Prohibited Personnel Practices.,https://www.mspb.gov/,
66,1517428384.49378,1520545213.33022,73,7300,SBA,Small Business Administration,4,To maintain and strengthen the nation's economy by enabling the establishment and vitality of small businesses and to assist in the economic recovery of communities after disasters.,https://www.sba.gov/,SBA.jpg
104,1517428389.01369,1520545217.24475,373,9535,IAIA,Institute of American Indian and Alaska Native Culture and Arts Development,8,,,
67,1517428384.52456,1520545213.43656,74,7400,ABMC,American Battle Monuments Commission,8,"As the preeminent guardian of America's overseas commemorative cemeteries and memorial, the American Battle Monuments Commission honors the service of the armed forces by designing, constructing, maintaining and operating permanent American cemeteries, and establishing, maintaining, and approving designs of memorials, markers, and monuments where America's armed forces have served beyond our borders.",https://www.abmc.gov/,
68,1517428384.54255,1520545213.45014,75,7500,HHS,Department of Health and Human Services,7,"It is the mission of the U.S. Department of Health & Human Services (HHS) to enhance and protect the health and well-being of all Americans. We fulfill that mission by providing for effective health and human services and fostering advances in medicine, public health, and social services.",https://www.hhs.gov/,DHHS.jpg
69,1517428385.12871,1520545213.88999,465,7635,,Christopher Columbus Fellowship Foundation,1,,,
70,1517428385.16193,1520545213.90477,7801,7800,FCA,Farm Credit Administration,4,,,
71,1517428385.25387,1520545213.97954,7802,7800,FCSIC,Farm Credit System Insurance Corporation,4,"The Farm Credit System Insurance Corporation (FCSIC), a government-controlled, independent entity, shall: protect investors in insured Farm Credit System obligations and taxpayers through sound administration of the Farm Credit Insurance Fund (Insurance Fund); exercise its authorities to minimize Insurance Fund loss; and help ensure the future of a permanent system for delivery of credit to agricultural borrowers.",https://www.fcsic.gov/,
72,1517428385.28366,1520545214.00376,80,8000,NASA,National Aeronautics and Space Administration,1,"Drive advances in science, technology, aeronautics, and space exploration to enhance knowledge, education, innovation, economic vitality, and stewardship of Earth.",https://www.nasa.gov/,NASA.jpg
73,1517428385.47429,1520545214.15278,913,8200,FHLBB,Federal Home Loan Bank System,6,,,
74,1517428385.4921,1520545214.16722,83,8300,EXIM,Export-Import Bank of the United States,4,"The Export-Import Bank of the United States (EXIM) is the official export credit agency of the United States. EXIM is an independent, self-sustaining Executive Branch agency with a mission of supporting American jobs by facilitating the export of U.S. goods and services.",https://www.exim.gov/,
75,1517428385.51007,1520545214.20782,84,84AF,AFRH,Armed Forces Retirement Home,2,,,
126,1517428389.44187,1520545217.57875,97,9700,DOD,Department of Defense,2,The mission of the Department of Defense is to provide the military forces needed to deter war and to protect the security of our country.,https://www.defense.gov/,DOD.jpg
127,1517428392.42049,1520545220.12616,428,,NEIGHBORWORKS,Neighborhood Reinvestment Corporation,6,,,
76,1517428385.55886,1520545214.22217,86,8600,HUD,Department of Housing and Urban Development,6,"HUD's mission is to create strong, sustainable, inclusive communities and quality affordable homes for all. HUD is working to strengthen the housing market to bolster the economy and protect consumers; meet the need for quality affordable rental homes; utilize housing as a platform for improving quality of life; build inclusive and sustainable communities free from discrimination, and transform the way HUD does business.",https://www.hud.gov/,DHUD.png
77,1517428386.10695,1520545214.64576,88,8800,NARA,National Archives and Records Administration,8,"Our Mission is to provide public access to Federal Government records in our custody and control. Public access to government records strengthens democracy by allowing Americans to claim their rights of citizenship, hold their government accountable, and understand their history so they can participate more effectively in their government.",https://www.archives.gov/,
78,1517428386.17388,1520545214.69758,89,8900,DOE,Department of Energy,4,"The mission of the Energy Department is to ensure America's security and prosperity by addressing its energy, environmental and nuclear challenges through transformative science and technology solutions.",https://energy.gov/,DOEnergy.jpg
79,1517428387.87839,1520545216.20525,90,9000,SSS,Selective Service System,2,"To provide manpower to the Defense Department during a national emergency, to manage alternative service for men classified as conscientious objectors, and to register, with only a few exceptions, all male U.S. citizens and male immigrants residing in the United States who are ages 18 through 25.",https://www.sss.gov/,
80,1517428387.89619,1520545216.21951,91,9100,ED,Department of Education,9,ED's mission is to promote student achievement and preparation for global competitiveness by fostering educational excellence and ensuring equal access.,https://www.ed.gov/,DOE.jpg
81,1517428388.60503,1520545216.93525,93,9300,FMCS,Federal Mediation and Conciliation Service,4,"FMCS's mission statement reflects the statutory intent of the Agency. Our mission is to: Promote the development of sound and stable labor management relationships; Prevent or minimize work stoppages by assisting labor and management to settle their disputes through mediation; Advocate collective bargaining, mediation and voluntary arbitration as the preferred processes for settling issues between employers and representatives of employees; Develop and advocate the art, science and practice of conflict resolution through the use of ADR; Assist parties in conflict through the provision of conflict resolution services; and Foster the establishment and maintenance of constructive joint processes to improve labor-management relationships, employment security and organizational effectiveness.",https://www.fmcs.gov/,
82,1517428388.62267,1520545216.9484,394,9502,NCPC,National Capital Planning Commission,1,,,
140,1517428392.68992,1520545220.49334,235,,MEDPAC,Medicare Payment Advisory Commission,7,,,
141,1517428392.70806,1520545220.50761,272,,CECC,Congressional-Executive Commission on People's Republic of China,1,,,
142,1517428392.72619,1520545220.52151,292,,USCC,United States-China Economic and Security Review Commission,1,,,
83,1517428388.64045,1520545216.96162,368,9504,FMSHRC,Federal Mine Safety and Health Review Commission,4,"The Federal Mine Safety and Health Review Commission (Commission) is an independent adjudicatory agency that provides administrative trial and appellate review of legal disputes arising under the Federal Mine Safety and Health Act of 1977 (Mine Act), as amended. Section 113 of the Mine Act establishes the Commission and sets forth its responsibilities. The Mine Improvement and New Emergency Response Act of 2006, P.L. 109-236 (MINER Act) added an additional responsibility to the Commission, resolving disputes between the Secretary of Labor and underground coal operators with respect to the contents of emergency response plans or the Secretary's refusal to approve such plans.",https://www.fmshrc.gov/,
84,1517428388.65811,1520545216.97504,360,9506,FEC,Federal Election Commission,1,To protect the integrity of the federal campaign finance process by providing transparency and fairly enforcing and administering federal campaign finance laws.,https://www.fec.gov/,
85,1517428388.67566,1520545216.98862,339,9507,CFTC,Commodity Futures Trading Commission,4,"The mission of the Commodity Futures Trading Commission (CFTC) is to foster open, transparent, competitive, and financially sound markets. By working to avoid systemic risk, the Commission aims to protect market users and their funds, consumers, and the public from fraud, manipulation, and abusive practices related to derivatives and other products that are subject to the Commodity Exchange Act (CEA).",http://www.cftc.gov/index.htm,
86,1517428388.69351,1520545217.00266,424,9508,NTSB,National Transportation Safety Board,4,Independently Advancing Transportation Safety,https://www.ntsb.gov/,
87,1517428388.71129,1520545217.01596,372,9510,,Harry S Truman Scholarship Foundation,9,,,
88,1517428388.72884,1520545217.02958,542,9511,CIGIE,The Council of the Inspectors General on Integrity and Efficiency,1,"Address integrity, economy, and effectiveness issues that transcend individual Government agencies; and increase the professionalism and effectiveness of personnel by developing policies, standards, and approaches to aid in the establishment of a well-trained and highly skilled workforce in the offices of the Inspectors General.",https://www.ignet.gov/,
89,1517428388.74668,1520545217.04265,382,9512,JUSFC,Japan-United States Friendship Commission,1,,,
90,1517428388.76441,1520545217.05613,387,9513,MMC,Marine Mammal Commission,5,"In 1972, the MMPA established the Marine Mammal Commission to provide independent oversight of the marine mammal conservation policies and programs being carried out by federal regulatory agencies.",https://www.mmc.gov/,
91,1517428388.78193,1520545217.06929,432,9514,OSHRC,Occupational Safety and Health Review Commission,7,"Provide an impartial forum for the just and prompt adjudication of workplace safety and health disputes involving the Department of Labor, employers, and employees, and/or their representatives under the Occupational Safety and Health Act of 1970 (Act), 29 U.S.C. ÃÃ 651-678.Ã®",https://www.oshrc.gov/,
92,1517428388.79986,1520545217.0824,302,9515,ACUS,Administrative Conference of the U.S.,1,"ACUS is an independent federal agency charged with convening expert representatives from the public and private sectors to recommend improvements to administrative process and procedure. ACUS initiatives promote efficiency, participation, and fairness in the promulgation of federal regulations and in the administration of federal programs.",https://www.acus.gov/,
93,1517428388.8175,1520545217.09574,347,9516,DNFSB,Defense Nuclear Facilities Safety Board,2,"The mission of the Board shall be to provide independent analysis, advice, and recommendations to the Secretary of Energy to inform the Secretary, in the role of the Secretary as operator and regulator of the defense nuclear facilities of the Department of Energy, in providing adequate protection of public health and safety at such defense nuclear facilities.",https://www.dnfsb.gov/,
94,1517428388.83502,1520545217.10912,326,9517,USCCR,Commission on Civil Rights,3,To inform the development of national civil rights policy and enhance enforcement of federal civil rights laws.,http://www.usccr.gov/,
95,1517428388.85293,1520545217.12281,338,9518,ABILITYONE,Committee for Purchase from People Who Are Blind or Severely Disabled,10,Our mission is to provide employment opportunities for people who are blind or have significant disabilities in the manufacture and delivery of products and services to the Federal Government.,http://www.abilityone.gov/,
96,1517428388.87144,1520545217.13634,467,9519,IC,Intelligence Community Staff,2,,,
97,1517428388.88924,1520545217.14935,525,9523,EAC,Election Assistance Commission,1,"The Commission shall serve as a national clearinghouse and resource for the compilation of information and review of procedures with respect to the administration of Federal elections by creating and maintaining voluntary voting system guidelines; providing for the testing, certification, decertification, and recertification of voting system hardware and software by accredited laboratories; periodically conducting and making available to the public studies regarding election administration issues; making payments to states to help them procure new voting equipment; developing and carrying out the Help America Vote College Program. - Public Law 107-252",https://www.eac.gov/,
98,1517428388.90709,1520545217.16281,421,9524,NMB,National Mediation Board,4,,,
99,1517428388.92466,1520545217.17656,535,9526,PCLOB,Privacy and Civil Liberties Oversight Board,3,,,
100,1517428388.9427,1520545217.1901,306,9530,ACHP,Advisory Council on Historic Preservation,8,"The Advisory Council on Historic Preservation promotes the preservation, enhancement, and sustainable use of our nationÃ­s diverse historic resources, and advises the President and the Congress on national historic preservation policy.",http://www.achp.gov/,
101,1517428388.96025,1520545217.20341,456,9531,USHMM,United States Holocaust Memorial Museum,8,,,
102,1517428388.97806,1520545217.21713,310,9532,,Access Board,10,"Lead the development, advancement, andâ implementation of accessibility through outreach, rulemaking (standards and guidelines) and education",https://www.access-board.gov/,
103,1517428388.99583,1520545217.23095,471,9533,,Gulf Coast Ecosystem Restoration Council,5,"The Council was formally established in 2015 as a new, independent Federal Agency with a clear mission to implement a long-term, comprehensive plan for the ecological and economic recovery of the Gulf Coast region.",https://www.restorethegulf.gov/,
105,1517428389.03144,1520545217.25832,323,9537,CFA,Commission of Fine Arts,8,"The Commission of Fine Arts is an independent federal agency charged with giving expert advice to the President, the Congress and the federal and District of Columbia governments on matters of design and aesthetics, as they affect the federal interest and preserve the dignity of the nation's capital.",https://www.cfa.gov/,
106,1517428389.04906,1520545217.27177,364,9540,FHFB,Federal Housing Finance Board,6,,,
107,1517428389.07932,1520545217.29389,381,9541,,James Madison Memorial Fellowship Foundation,9,,,
108,1517428389.09708,1520545217.30676,9566,9542,FHFA,Federal Housing Finance Agency,6,,,
109,1517428389.11497,1520545217.31975,524,9543,MCC,Millennium Challenge Corporation,1,MCC's mission is to reduce poverty through economic growth.,https://www.mcc.gov/,
143,1517428392.74419,1520545220.53521,295,,USCIRF,United States Commission on International Religious Freedom,8,,,
110,1517428389.13263,1520545217.33287,487,9545,UDALL,Morris K. Udall and Stewart L. Udall Foundation,1,"The Udall Foundation's mission is to provide programs to promote leadership, education, collaboration, and conflict resolution in the areas of environment, public lands, and natural resources in order to strengthen Native nations, assist federal agencies and others to resolve environmental conflicts, and to encourage the continued use and appreciation of our nation's rich resources.",https://udall.gov/,
